nome,idade_anos,prs_aceitas,total_releases,dias_desde_atualizacao,linguagem,razao_issues_fechadas,total_forks,licenca,possui_ci_cd,total_linguagens
golang/go,11.99,1,0,1,Go,0.8666,19276,"BSD 3-Clause ""New"" or ""Revised"" License",false,12
labuladong/fucking-algorithm,6.49,244,0,169,Markdown,0.9980,23573,Não informado,false,1
Shubhamsaboo/awesome-llm-apps,2.30,240,0,3,Python,0.9598,19552,Apache License 2.0,true,9
ripienaar/free-for-dev,11.41,3079,0,0,HTML,0.0000,13843,Não informado,false,1
deepseek-ai/deepseek-harness,0.01,0,0,3,TypeScript,0.0000,13078,MIT License,true,8
excalidraw/excalidraw,6.62,3961,15,0,TypeScript,0.5398,14942,MIT License,true,8
github/spec-kit,0.99,1379,212,2,Python,0.8942,11591,MIT License,true,3
krahets/hello-algo,3.78,994,10,23,Java,0.9521,15509,Other,true,9
Chalarangelo/30-seconds-of-code,8.71,855,12,8,JavaScript,1.0000,12486,Creative Commons Attribution 4.0 International,true,6
garrytan/gstack,0.43,304,0,0,TypeScript,0.5119,19303,MIT License,true,8
Comfy-Org/ComfyUI,3.58,3146,153,0,Python,0.5510,15066,GNU General Public License v3.0,true,4
farion1231/cc-switch,1.03,452,50,0,Rust,0.6853,8722,MIT License,true,5
react/react-native,11.60,999,471,0,C++,0.9756,25217,MIT License,true,16
kubernetes/kubernetes,12.19,65646,810,2,Go,0.9631,43859,Apache License 2.0,false,10
ggml-org/llama.cpp,3.44,9698,1000,0,C++,0.9205,21781,MIT License,true,26
electron/electron,13.35,26553,1000,0,C++,0.9685,17418,MIT License,true,11
shadcn-ui/ui,3.62,1434,117,3,TypeScript,0.7492,9877,MIT License,true,8
rustdesk/rustdesk,5.88,4200,39,0,Rust,0.9812,18498,GNU Affero General Public License v3.0,true,16
nodejs/node,11.72,13183,512,0,JavaScript,0.9661,36502,Other,true,15
Hack-with-Github/Awesome-Hacking,10.38,41,0,21,Não informado,0.0000,10653,Creative Commons Zero v1.0 Universal,true,0
justjavac/free-programming-books-zh_CN,12.78,300,3,18,Não informado,0.0000,28251,GNU General Public License v3.0,false,0
microsoft/generative-ai-for-beginners,3.16,601,0,3,Jupyter Notebook,1.0000,62187,MIT License,true,8
nextlevelbuilder/ui-ux-pro-max-skill,0.71,138,41,3,Python,0.7746,12618,MIT License,true,6
godotengine/godot,12.61,43339,71,0,C++,0.7885,26361,MIT License,true,14
rust-lang/rust,16.17,73494,153,0,Rust,0.8208,15422,Apache License 2.0,true,25
mrdoob/three.js,16.40,15987,177,0,JavaScript,0.9821,36480,MIT License,true,4
2dust/v2rayN,7.05,600,333,0,C#,0.9971,15700,GNU General Public License v3.0,true,2
d3/d3,15.89,495,194,80,Shell,0.9978,22677,ISC License,true,2
jaywcjlove/awesome-mac,10.08,1243,15,0,Swift,0.7196,8487,Creative Commons Zero v1.0 Universal,true,2
immich-app/immich,4.53,9998,305,0,TypeScript,0.9473,6557,GNU Affero General Public License v3.0,true,19
tauri-apps/tauri,7.10,5670,0,0,Rust,0.7998,3862,Apache License 2.0,true,18
microsoft/TypeScript,12.17,14893,217,2,TypeScript,0.8832,13719,Apache License 2.0,true,3
browser-use/browser-use,1.79,1894,135,0,Python,0.9382,12031,MIT License,true,4
axios/axios,11.99,1481,123,3,JavaScript,0.9909,11819,MIT License,true,3
fatedier/frp,10.65,860,116,0,Go,0.9899,15180,Apache License 2.0,true,9
papers-we-love/papers-we-love,12.67,444,0,46,Shell,0.9919,6415,Não informado,true,1
VoltAgent/awesome-design-md,0.38,6,0,16,Não informado,0.2031,12409,MIT License,false,0
denoland/deno,8.26,16442,388,2,Rust,0.9219,6340,MIT License,true,17
supabase/supabase,6.85,18627,30,0,TypeScript,0.9534,13556,Apache License 2.0,true,13
openai/whisper,3.92,122,13,19,Python,0.0000,13049,MIT License,true,1
Graphify-Labs/graphify,0.37,135,191,0,Python,0.6647,10411,Apache License 2.0,true,2
google-gemini/gemini-cli,1.33,6647,586,0,TypeScript,0.9600,14444,Apache License 2.0,true,8
openai/codex,1.34,9460,991,0,Rust,0.4536,16145,Apache License 2.0,true,15
goldbergyoni/nodebestpractices,8.92,766,0,62,Dockerfile,0.8421,10717,Creative Commons Attribution Share Alike 4.0 International,true,2
microsoft/terminal,9.01,4519,156,1,C++,0.8828,9526,MIT License,true,12
harry0703/MoneyPrinterTurbo,2.43,199,17,3,Python,0.9817,15885,MIT License,true,6
deepseek-ai/DeepSeek-V3,1.64,25,1,353,Python,0.8706,16728,MIT License,true,1
DietrichGebert/ponytail,0.18,174,15,9,JavaScript,0.7873,5731,MIT License,true,4
react/create-react-app,10.08,1949,83,547,JavaScript,0.7797,26925,MIT License,true,8
rasbt/LLMs-from-scratch,3.07,507,0,6,Jupyter Notebook,0.9917,15753,Other,true,3
pytorch/pytorch,10.01,6585,68,0,Python,0.7707,28881,Other,true,26
Anduin2017/HowToCook,6.46,644,5,7,Não informado,0.4585,11083,The Unlicense,true,0
neovim/neovim,12.54,19632,54,0,Vim Script,0.8900,7026,Other,true,16
fastapi/fastapi,7.69,3555,300,1,Python,0.9997,9784,MIT License,true,5
angular/angular,11.91,7317,689,2,TypeScript,0.9678,27433,MIT License,true,7
ruanyf/weekly,7.84,120,0,2,Não informado,0.1620,4356,Não informado,false,0
mtdvio/every-programmer-should-know,8.98,109,0,230,Não informado,0.6596,8766,Creative Commons Attribution 4.0 International,false,0
ant-design/ant-design,11.31,18202,758,0,TypeScript,0.9686,54696,MIT License,true,6
mui/material-ui,11.99,22152,572,0,JavaScript,0.9327,32563,MIT License,true,4
JuliusBrussee/caveman,0.37,58,21,0,Go,0.3472,5703,Other,true,8
TauricResearch/TradingAgents,1.63,27,8,29,Python,0.6031,18994,Apache License 2.0,true,2
nvbn/thefuck,11.36,482,17,758,Python,0.6122,3959,MIT License,true,5
tailwindlabs/tailwindcss,8.86,3476,307,2,TypeScript,0.9949,5584,MIT License,true,6
florinpop17/app-ideas,7.47,151,0,309,Não informado,0.2637,10589,MIT License,false,0
microsoft/Web-Dev-For-Beginners,5.77,689,0,11,JavaScript,0.8540,15777,MIT License,true,5
hacksider/Deep-Live-Cam,2.89,122,13,2,Python,0.9813,13994,GNU Affero General Public License v3.0,true,2
puppeteer/puppeteer,9.27,6204,698,0,TypeScript,0.9664,9569,Apache License 2.0,true,7
oven-sh/bun,5.34,9656,214,0,Rust,0.8165,4965,Other,true,20
ryanmcdermott/clean-code-javascript,9.72,149,0,748,JavaScript,0.6721,12620,MIT License,false,1
nvm-sh/nvm,16.34,761,73,23,Shell,0.8599,10367,MIT License,true,4
microsoft/playwright,6.75,17703,165,1,TypeScript,0.9919,6298,Apache License 2.0,true,15
iluwatar/java-design-patterns,12.02,1578,0,0,Java,0.8789,27393,Other,true,5
karpathy/autoresearch,0.45,7,0,143,Python,0.5133,13315,Não informado,false,2
punkpeye/awesome-mcp-servers,1.71,3389,0,13,Não informado,0.9946,14576,MIT License,true,0
deepseek-ai/DeepSeek-R1,1.57,10,1,415,Não informado,0.9822,11709,MIT License,true,0
earendil-works/pi,1.02,887,255,0,TypeScript,0.9818,11348,MIT License,true,8
3b1b/manim,11.40,693,13,0,Python,0.6249,7555,MIT License,true,2
thedotmack/claude-mem,0.96,509,307,0,JavaScript,0.9938,7937,Apache License 2.0,true,5
storybookjs/storybook,10.41,13095,1000,2,TypeScript,0.8913,10391,MIT License,true,13
opencv/opencv,14.08,14045,69,1,C++,0.7811,56974,Apache License 2.0,true,19
ruvnet/RuView,1.19,398,280,0,Rust,0.9328,12012,MIT License,true,17
louislam/uptime-kuma,5.12,1815,131,0,JavaScript,0.8568,8251,MIT License,true,13
PanJiaChen/vue-element-admin,9.33,311,49,661,Vue,0.6524,30357,MIT License,false,6
home-assistant/core,12.91,90006,1000,0,Python,0.9601,38368,Apache License 2.0,true,7
bitcoin/bitcoin,15.66,16802,68,1,C++,0.9636,39295,MIT License,true,16
mermaid-js/mermaid,11.79,2812,201,0,TypeScript,0.6188,9177,MIT License,true,10
sherlock-project/sherlock,7.64,744,2,0,Python,0.9174,10524,MIT License,true,3
Stirling-Tools/Stirling-PDF,3.55,4098,186,0,Java,0.8062,8100,Other,true,14
modelcontextprotocol/servers,1.74,1228,26,6,TypeScript,0.7917,11455,Other,true,4
microsoft/ML-For-Beginners,5.46,496,0,4,Jupyter Notebook,0.9879,21953,MIT License,true,7
gohugoio/hugo,13.12,3481,381,0,Go,0.9739,8336,Apache License 2.0,true,9
vllm-project/vllm,3.52,19967,103,0,Python,0.8772,20775,Apache License 2.0,true,10
gin-gonic/gin,12.17,1248,29,1,Go,0.7484,8668,MIT License,true,2
astral-sh/uv,2.87,10095,303,0,Rust,0.7444,3488,Apache License 2.0,true,11
zed-industries/zed,5.49,26367,1000,0,Rust,0.8887,10082,Other,true,20
ChatGPTNextWeb/NextChat,3.44,912,77,5,TypeScript,0.8045,59245,MIT License,true,6
infiniflow/ragflow,2.68,8362,52,0,Go,0.8290,10393,Apache License 2.0,true,15
localsend/localsend,3.67,732,26,3,Dart,0.4490,4911,Apache License 2.0,true,16
MunGell/awesome-for-beginners,10.81,484,0,22,Não informado,0.9065,7973,Não informado,true,0
django/django,14.30,10681,0,1,Python,0.0000,34142,"BSD 3-Clause ""New"" or ""Revised"" License",true,7
sveltejs/svelte,9.74,6781,635,0,JavaScript,0.8950,5203,MIT License,true,5
PaddlePaddle/PaddleOCR,6.27,3199,33,25,Python,0.9853,11176,Apache License 2.0,true,20
addyosmani/agent-skills,0.50,133,9,2,JavaScript,0.5597,9404,MIT License,true,5
syncthing/syncthing,12.72,2929,478,0,Go,0.9398,5412,Mozilla Public License 2.0,true,9
nexu-io/open-design,0.30,2788,27,0,TypeScript,0.7433,10150,Apache License 2.0,true,13
ByteByteGoHq/system-design-101,2.91,23,0,499,Não informado,0.3125,9695,Other,true,0
odysseus-dev/odysseus,0.21,1417,0,0,Python,0.5330,482,GNU Affero General Public License v3.0,true,10
laravel/laravel,15.19,1709,226,0,Blade,0.0000,24904,Não informado,true,4
macrozheng/mall,8.37,1,3,94,Java,0.9782,29817,Apache License 2.0,false,3
OpenHands/OpenHands,2.43,7474,132,1,TypeScript,0.9301,10934,MIT License,true,8
realworld-apps/realworld,10.47,435,0,3,TypeScript,0.9526,7648,Other,true,8
bregman-arie/devops-exercises,6.87,309,0,232,Python,0.6636,20155,Other,true,5
DopplerHQ/awesome-interview-questions,10.72,175,0,748,Não informado,0.5574,9548,Não informado,true,0
OpenCut-app/OpenCut,1.15,192,3,6,TypeScript,0.2692,8278,MIT License,true,3
Developer-Y/cs-video-courses,9.82,283,0,40,Não informado,0.0000,11432,Não informado,false,0
animate-css/animate.css,14.85,315,22,748,CSS,0.9515,15930,Other,true,4
junegunn/fzf,12.81,687,83,2,Go,0.9170,2853,MIT License,true,9
fighting41love/funNLP,7.99,14,0,828,Python,0.5217,15267,Não informado,false,1
koala73/worldmonitor,0.60,4480,43,0,TypeScript,0.8094,12299,GNU Affero General Public License v3.0,true,14
