nome,idade_anos,prs_aceitas,total_releases,dias_desde_atualizacao,linguagem,razao_issues_fechadas,total_forks,licenca,possui_ci_cd,total_linguagens
alacritty/alacritty,10.49,1936,108,13,Rust,0.9481,3564,Apache License 2.0,true,4
lydiahallie/javascript-questions,7.18,327,0,742,Não informado,0.9209,9199,MIT License,false,0
kdn251/interviews,9.50,42,0,461,Java,0.4068,12903,MIT License,false,1
localstack/localstack,9.81,6814,106,146,Python,1.0000,4788,Other,true,14
Fission-AI/OpenSpec,1.03,560,44,1,TypeScript,0.8305,4485,MIT License,true,5
microsoft/AI-For-Beginners,5.45,312,0,26,Jupyter Notebook,0.9391,12628,MIT License,true,7
docling-project/docling,2.10,1126,204,1,Python,0.5465,4623,MIT License,true,4
Mintplex-Labs/anything-llm,3.20,1562,34,2,JavaScript,0.9202,7135,MIT License,true,11
gsd-build/get-shit-done,0.67,1202,78,77,JavaScript,1.0000,5464,MIT License,true,3
shanraisshan/claude-code-best-practice,0.79,48,0,0,HTML,0.9412,6412,MIT License,false,2
nocodb/nocodb,8.80,6459,198,0,TypeScript,0.9169,4990,Other,true,10
traefik/traefik,10.92,5509,551,3,Go,0.8985,6138,MIT License,true,9
ryanoasis/nerd-fonts,11.70,610,39,6,CSS,0.9862,3947,Other,true,5
warpdotdev/warp,5.11,2134,56,0,Rust,0.6464,5432,GNU Affero General Public License v3.0,true,18
keras-team/keras,11.39,5203,93,2,Python,0.9894,19750,Apache License 2.0,true,2
santifer/career-ops,0.37,1014,33,0,JavaScript,0.8185,12620,MIT License,true,9
rust-lang/rustlings,10.92,952,46,5,Rust,0.9688,11241,MIT License,true,5
scrapy/scrapy,16.48,2789,52,0,Python,0.9142,11898,"BSD 3-Clause ""New"" or ""Revised"" License",true,5
tw93/Mole,0.90,335,61,0,Shell,0.9978,2243,GNU General Public License v3.0,true,4
commaai/openpilot,9.73,13285,63,0,Python,0.9767,11259,MIT License,true,7
tldr-pages/tldr,12.69,19488,6,0,Markdown,0.8714,5377,Other,true,5
mem0ai/mem0,3.16,2512,381,1,Python,0.8805,7400,Apache License 2.0,true,8
FFmpeg/FFmpeg,15.34,0,0,0,C,0.0000,14149,Other,false,18
socketio/socket.io,16.43,450,98,23,TypeScript,0.9552,10302,MIT License,true,5
ZhuLinsen/daily_stock_analysis,0.60,670,34,1,Python,0.9545,53018,MIT License,true,10
asgeirtj/system_prompts_leaks,1.29,32,0,1,JavaScript,0.6441,10344,Creative Commons Zero v1.0 Universal,false,2
virattt/ai-hedge-fund,1.71,53,11,9,Python,0.8136,11065,MIT License,false,1
resume/resume.github.com,15.52,84,0,1278,JavaScript,0.5115,1370,Não informado,false,4
jgraph/drawio-desktop,9.23,42,187,2,JavaScript,0.9961,5746,Apache License 2.0,true,3
git/git,18.07,4,0,0,C,0.0000,28257,Other,true,17
NanmiCoder/MediaCrawler,3.19,142,0,2,Python,0.7444,12179,Other,true,2
pathwaycom/pathway,3.72,30,89,0,Python,0.8304,1680,Other,true,4
usememos/memos,4.69,2073,96,0,Go,0.9914,4658,MIT License,true,7
topjohnwu/Magisk,9.94,1720,156,3,Kotlin,0.9923,18319,GNU General Public License v3.0,true,9
youngyangyang04/leetcode-master,6.67,2311,0,13,Shell,0.2420,12310,Não informado,false,1
karpathy/nanoGPT,3.64,45,0,277,Python,0.3168,10711,MIT License,false,1
withastro/astro,5.42,9208,1000,0,TypeScript,0.9960,3718,Other,true,11
PlexPt/awesome-chatgpt-prompts-zh,3.68,33,0,110,Não informado,0.6139,13543,MIT License,false,0
reduxjs/redux,11.22,1767,78,14,TypeScript,0.9807,15203,MIT License,true,3
sansan0/TrendRadar,1.30,2,0,30,Python,0.9274,24870,GNU General Public License v3.0,true,5
FuelLabs/sway,5.57,3715,189,2,Rust,0.7349,5414,Apache License 2.0,true,8
minio/minio,11.59,9882,521,114,Go,0.9944,7774,GNU Affero General Public License v3.0,true,6
lodash/lodash,14.36,644,4,44,JavaScript,0.9876,7199,Other,true,3
2dust/v2rayNG,7.26,663,307,0,Kotlin,0.9966,7942,GNU General Public License v3.0,true,3
RVC-Boss/GPT-SoVITS,2.59,366,4,25,Python,0.6132,6614,MIT License,true,6
Solido/awesome-flutter,9.28,452,0,117,Dart,0.0000,6911,Não informado,false,1
h5bp/Front-end-Developer-Interview-Questions,14.52,485,0,60,Nunjucks,0.7730,10994,MIT License,true,3
upstash/context7,1.39,477,104,0,TypeScript,0.9893,2934,MIT License,true,3
xingshaocheng/architect-awesome,8.36,49,0,857,Não informado,0.3239,17634,Não informado,false,0
1c7/chinese-independent-developer,8.90,739,0,0,Python,0.9972,5301,Não informado,true,1
atom/atom,14.57,3937,538,1321,JavaScript,0.9438,17169,MIT License,false,8
nuxt/nuxt,9.81,8296,291,0,TypeScript,0.9790,5794,MIT License,true,6
tw93/Pake,3.84,162,51,1,Rust,1.0000,12436,GNU General Public License v3.0,true,3
pocketbase/pocketbase,4.12,55,284,2,Go,0.9907,3650,MIT License,true,5
ChrisTitusTech/winutil,4.30,1454,45,0,PowerShell,0.9882,3531,MIT License,true,2
ultralytics/ultralytics,3.93,5422,448,0,Python,0.9962,11586,GNU Affero General Public License v3.0,true,4
coollabsio/coolify,5.56,2740,688,0,PHP,0.8418,5294,Apache License 2.0,true,6
microsoft/autogen,3.00,2537,98,123,Python,0.8187,9115,Creative Commons Attribution 4.0 International,true,10
pi-hole/pi-hole,12.19,2237,126,12,Shell,0.9930,3282,Other,true,3
adam-p/markdown-here,14.26,27,17,359,JavaScript,0.5260,11033,MIT License,false,4
spring-projects/spring-framework,15.69,939,363,3,Java,0.9865,38783,Apache License 2.0,true,14
sharkdp/bat,8.32,1665,43,5,Rust,0.7999,1629,Apache License 2.0,true,5
marktext/marktext,8.76,1371,47,20,TypeScript,0.8235,4457,MIT License,true,6
CorentinJ/Real-Time-Voice-Cloning,7.23,51,0,160,Python,0.8494,9396,Other,true,1
jquery/jquery,17.37,902,13,4,JavaScript,0.9695,20376,MIT License,true,5
ghostty-org/ghostty,4.38,4453,1,0,Zig,0.9348,3282,MIT License,true,19
pbakaus/impeccable,0.75,271,45,0,JavaScript,0.8282,3648,Apache License 2.0,true,7
shadowsocks/shadowsocks-windows,13.59,290,55,592,C#,0.9356,16200,Other,false,3
meta-llama/llama,3.50,54,0,567,Python,0.5808,9791,Other,false,2
FiloSottile/mkcert,8.14,53,14,733,Go,0.6741,3132,"BSD 3-Clause ""New"" or ""Revised"" License",true,1
starship/starship,7.38,3204,141,0,Rust,0.7052,2628,ISC License,true,8
termux/termux-app,10.82,178,95,33,Java,0.8425,7223,Other,true,6
rclone/rclone,12.42,2486,131,2,Go,0.8419,5318,MIT License,true,11
pathwaycom/llm-app,3.08,50,0,42,Jupyter Notebook,0.7500,1466,MIT License,true,3
meilisearch/meilisearch,8.32,2532,330,2,Rust,0.9028,2666,Other,true,3
byoungd/up,9.21,31,0,47,JavaScript,0.7576,6019,Não informado,false,1
rust-unofficial/awesome-rust,12.08,1914,0,0,Rust,0.9533,3543,Creative Commons Zero v1.0 Universal,true,1
penpot/penpot,10.63,6897,84,2,Clojure,0.7808,3959,Mozilla Public License 2.0,true,18
rails/rails,18.35,26838,168,0,Ruby,0.9740,22364,MIT License,true,7
pmndrs/zustand,7.36,926,105,3,TypeScript,0.9971,2182,MIT License,true,2
tiimgreen/github-cheat-sheet,12.35,129,0,853,Não informado,0.6364,5441,MIT License,false,0
angular/angular.js,16.61,790,0,856,JavaScript,0.9569,27022,MIT License,false,5
MemPalace/mempalace,0.37,608,15,0,Python,0.5918,7497,MIT License,true,9
mvanhorn/last30days-skill,0.56,464,40,0,Python,0.6556,5076,MIT License,true,4
FoundationAgents/OpenManus,1.45,116,3,0,Python,0.6220,10069,MIT License,true,3
ultralytics/yolov5,6.25,2320,10,0,Python,0.9968,17476,GNU Affero General Public License v3.0,true,3
h5bp/html5-boilerplate,16.56,846,34,5,JavaScript,0.9949,12267,MIT License,true,2
scutan90/DeepLearning-500-questions,8.14,302,0,781,JavaScript,0.4219,15877,GNU General Public License v3.0,false,2
deepfakes/faceswap,8.66,370,5,11,Python,0.9890,13497,GNU General Public License v3.0,true,3
zylon-ai/private-gpt,3.29,306,14,2,Python,0.9992,7610,Apache License 2.0,true,7
go-gitea/gitea,9.79,19705,235,0,Go,0.8525,7008,MIT License,true,13
karpathy/nanochat,0.84,84,0,14,Python,0.8417,7945,MIT License,false,3
wasabeef/awesome-android-ui,11.65,91,0,72,Não informado,0.8120,10247,MIT License,false,0
crewAIInc/crewAI,2.81,2112,230,0,Python,0.9482,8160,MIT License,true,5
Textualize/rich,6.77,869,177,54,Python,0.8452,2295,MIT License,true,3
appwrite/appwrite,7.36,5226,132,0,TypeScript,0.8845,5645,"BSD 3-Clause ""New"" or ""Revised"" License",true,5
FuelLabs/fuel-core,5.97,1657,130,0,Rust,0.8605,2859,Other,true,5
soimort/you-get,13.99,582,123,22,Python,0.0000,9697,Other,true,3
ageitgey/face_recognition,9.45,95,2,52,Python,0.4380,13696,MIT License,true,3
remix-run/react-router,12.25,3636,343,9,TypeScript,0.9881,10905,MIT License,true,6
remotion-dev/remotion,6.15,6029,671,0,TypeScript,0.9480,4248,Other,true,19
BerriAI/litellm,3.06,14305,1000,0,Python,0.8633,10633,Other,true,15
golang-standards/project-layout,8.93,98,0,110,Makefile,0.3793,5429,Other,false,1
Zie619/n8n-workflows,1.26,34,1,53,Python,0.7619,7497,MIT License,true,9
makeplane/plane,3.74,6446,62,0,TypeScript,0.5864,5335,GNU Affero General Public License v3.0,true,8
laurent22/joplin,9.58,5961,416,0,TypeScript,0.9239,6230,Other,true,20
gatsbyjs/gatsby,11.24,18303,158,1,JavaScript,0.9846,10126,MIT License,true,13
jellyfin/jellyfin,7.69,5619,112,0,C#,0.9569,5310,GNU General Public License v2.0,true,4
azl397985856/leetcode,8.38,257,40,396,JavaScript,0.9650,9376,Other,true,3
Raphire/Win11Debloat,5.80,130,37,0,PowerShell,0.9175,2373,MIT License,true,2
firstcontributions/first-contributions,9.90,103142,0,0,Não informado,0.9880,107968,MIT License,true,0
typst/typst,6.89,2491,30,2,Rust,0.7308,1679,Apache License 2.0,true,6
FlowiseAI/Flowise,3.38,1820,85,3,TypeScript,0.7378,24906,Other,true,9
AntonOsika/gpt-engineer,3.30,351,21,459,Python,0.9364,7298,MIT License,true,5
twentyhq/twenty,3.71,13958,102,0,TypeScript,0.9845,8553,Other,true,12
romkatv/powerlevel10k,7.47,170,33,1,Shell,0.9511,2440,MIT License,false,3
PowerShell/PowerShell,10.59,8460,214,1,C#,0.9051,8427,MIT License,true,8
ngosang/trackerslist,10.31,1,0,0,Não informado,0.9796,6594,GNU General Public License v2.0,false,0
TryGhost/Ghost,13.29,18320,998,0,JavaScript,0.9956,11888,MIT License,true,9
jingyaogong/minimind,2.06,12,2,10,Python,0.9590,7151,Apache License 2.0,false,1
facebookresearch/segment-anything,3.40,16,0,697,Jupyter Notebook,0.2535,6353,Apache License 2.0,false,3
WerWolv/ImHex,5.76,782,82,0,C++,0.7865,2446,GNU General Public License v2.0,true,7
wagoodman/dive,8.26,164,28,244,Go,0.5493,1993,MIT License,true,3
lencx/ChatGPT,3.69,123,34,717,Rust,0.2909,6137,Não informado,false,5
maybe-finance/maybe,2.62,1073,28,387,Ruby,0.0000,5679,GNU Affero General Public License v3.0,true,6
psf/requests,15.50,1696,19,5,Python,0.9648,10092,Apache License 2.0,true,2
vuejs/core,8.18,4062,292,0,TypeScript,0.9084,9187,MIT License,true,6
ElemeFE/element,9.95,3228,145,726,Vue,0.8522,14417,MIT License,true,5
google/material-design-icons,11.86,50,16,2,Não informado,0.7436,9738,Apache License 2.0,true,0
odoo/odoo,12.26,6183,0,0,Python,0.8034,33435,Other,false,12
mozilla/pdf.js,15.31,9216,88,0,JavaScript,0.9652,10658,Apache License 2.0,true,6
necolas/normalize.css,15.29,56,0,795,CSS,0.9093,10341,MIT License,false,1
JetBrains/kotlin,14.51,3519,300,0,Kotlin,0.0000,6389,Não informado,false,23
freqtrade/freqtrade,9.25,6682,116,0,Python,0.9956,11091,GNU General Public License v3.0,true,8
usestrix/strix,1.03,357,26,2,Python,0.6098,5717,Apache License 2.0,true,9
chinese-poetry/chinese-poetry,9.95,138,1,60,JavaScript,0.4240,10696,MIT License,true,2
vsouza/awesome-ios,12.10,2256,0,53,Swift,0.9940,6996,MIT License,true,1
ggml-org/whisper.cpp,3.89,1022,38,2,C++,0.4559,6072,MIT License,true,21
dockur/windows,2.59,900,126,0,Shell,0.9845,4627,MIT License,true,3
aaif-goose/goose,1.98,5853,146,0,Rust,0.9452,6021,Apache License 2.0,true,14
sickcodes/Docker-OSX,6.20,109,0,278,Shell,0.4213,2890,GNU General Public License v3.0,true,4
lyswhut/lx-music-desktop,7.01,101,113,12,TypeScript,0.5174,6954,Apache License 2.0,true,5
microsoft/VibeVoice,0.98,41,0,23,Python,0.4876,5952,MIT License,false,1
ionic-team/ionic-framework,12.99,6782,948,0,TypeScript,0.9735,13322,MIT License,true,9
agalwood/Motrix,7.66,221,27,0,TypeScript,0.4415,4915,Other,true,8
jesseduffield/lazydocker,7.25,195,47,119,Go,0.5230,1678,MIT License,true,3
hesreallyhim/awesome-claude-code,1.33,221,0,0,Python,0.5652,4592,Other,true,2
lllyasviel/Fooocus,3.02,448,21,258,Python,0.8519,8543,GNU General Public License v3.0,true,6
prettier/prettier,9.71,10219,144,0,JavaScript,0.8404,4982,MIT License,true,6
xai-org/grok-1,2.42,5,0,716,Python,0.0000,8535,Apache License 2.0,false,1
etcd-io/etcd,13.11,10614,292,1,Go,0.9840,10456,Apache License 2.0,true,6
VoltAgent/awesome-openclaw-skills,0.56,148,0,3,Não informado,1.0000,5003,MIT License,true,0
bmad-code-org/BMAD-METHOD,1.34,837,39,0,JavaScript,0.9070,5938,Other,true,7
google/guava,12.22,1436,58,1,Java,0.8317,11193,Apache License 2.0,true,4
dkhamsing/open-source-ios-apps,11.55,1710,37,0,Não informado,1.0000,6048,Creative Commons Zero v1.0 Universal,true,0
run-llama/llama_index,3.79,7941,432,2,Python,0.9763,7949,MIT License,true,8
Avik-Jain/100-Days-Of-ML-Code,8.12,6,0,961,Não informado,0.0000,11602,MIT License,false,0
expo/expo,10.00,23772,0,0,TypeScript,0.9851,13483,MIT License,true,17
jekyll/jekyll,17.82,3205,112,13,Ruby,0.9737,10304,MIT License,true,11
anthropics/claude-cookbooks,3.00,198,0,2,Jupyter Notebook,0.6449,6132,MIT License,true,9
dbeaver/dbeaver,10.82,7338,254,0,Java,0.8427,4334,Apache License 2.0,true,9
charlax/professional-programming,10.78,44,0,32,Python,0.9697,4021,MIT License,false,2
poteto/hiring-without-whiteboards,9.42,1335,0,71,JavaScript,0.0000,3907,MIT License,true,1
DefinitelyTyped/DefinitelyTyped,13.86,53477,1,1,TypeScript,0.9311,30390,Other,true,3
ethereum/go-ethereum,12.64,9274,232,2,Go,0.9775,22093,GNU Lesser General Public License v3.0,true,16
justjavac/wechat-miniapp-radar,9.90,313,0,9,TypeScript,1.0000,9004,GNU General Public License v3.0,true,3
Semantic-Org/Semantic-UI,13.36,356,154,627,JavaScript,0.8453,4858,MIT License,false,3
cypress-io/cypress,11.45,8843,401,0,TypeScript,0.9349,3645,MIT License,true,11
CherryHQ/cherry-studio,2.23,4817,275,0,TypeScript,0.9204,4791,GNU Affero General Public License v3.0,true,6
jamiepine/voicebox,0.56,147,25,7,TypeScript,0.2801,6274,MIT License,true,9
nlohmann/json,13.12,1155,45,3,C++,0.9855,7463,MIT License,true,10
bannedbook/fanqiang,11.59,3,3,4,Kotlin,0.6012,8288,Não informado,false,11
mastodon/mastodon,10.48,20614,360,0,Ruby,0.6703,7486,GNU Affero General Public License v3.0,true,11
TanStack/query,6.93,3787,1000,0,TypeScript,0.9625,4179,MIT License,true,6
skylot/jadx,13.41,652,35,11,Java,0.7979,5724,Apache License 2.0,true,5
jgthms/bulma,10.56,646,22,168,CSS,0.8732,3884,MIT License,true,5
AlistGo/alist,5.65,974,149,11,Go,0.8838,7947,GNU Affero General Public License v3.0,true,4
serhii-londar/open-source-mac-os-apps,8.79,615,0,122,Não informado,0.9017,2713,Creative Commons Zero v1.0 Universal,true,0
chenglou/pretext,0.44,7,0,54,TypeScript,0.5208,2729,MIT License,true,2
tldraw/tldraw,5.27,5455,133,0,TypeScript,0.8626,3456,Other,true,9
huginn/huginn,13.44,1179,1,1,Ruby,0.7205,4284,MIT License,true,8
NARKOZ/hacker-scripts,10.74,63,0,1028,JavaScript,0.6415,6660,Não informado,false,16
jakevdp/PythonDataScienceHandbook,10.02,28,0,781,Jupyter Notebook,0.4000,19089,MIT License,false,6
pandas-dev/pandas,15.98,29391,122,0,Python,0.9078,20271,"BSD 3-Clause ""New"" or ""Revised"" License",true,10
kelseyhightower/kubernetes-the-hard-way,10.11,73,0,493,Não informado,0.9455,15823,Apache License 2.0,false,0
hashicorp/terraform,12.43,13634,435,1,Go,0.9192,10600,Other,true,5
roboflow/supervision,3.72,1377,40,2,Python,0.9263,4675,MIT License,true,1
Lordog/dive-into-llms,2.36,11,1,310,Jupyter Notebook,0.6538,5927,Não informado,false,1
ClickHouse/ClickHouse,10.21,68894,822,0,C++,0.8354,8806,Apache License 2.0,true,26
ChromeDevTools/chrome-devtools-mcp,0.93,1130,58,0,TypeScript,0.8512,3431,Apache License 2.0,true,3
astral-sh/ruff,4.02,15966,423,0,Rust,0.7950,2334,MIT License,true,9
x64dbg/x64dbg,11.35,825,6,1,C++,0.7901,2816,Other,true,9
Homebrew/brew,10.45,15213,508,0,Ruby,0.9998,11286,"BSD 2-Clause ""Simplified"" License",true,9
diegosouzapw/OmniRoute,0.50,5372,278,0,TypeScript,0.9169,6699,MIT License,true,11
GokuMohandas/Made-With-ML,7.78,147,1,164,Jupyter Notebook,0.7662,7713,MIT License,true,4
JuliaLang/julia,15.32,27764,203,0,Julia,0.8614,5971,MIT License,true,18
apple/container,1.21,730,20,2,Swift,0.6613,1720,Apache License 2.0,true,4
bigskysoftware/htmx,6.34,1190,32,1,JavaScript,0.6461,1636,Other,true,6
chen08209/FlClash,3.01,2,105,0,Dart,0.7502,3084,GNU General Public License v3.0,true,15
metabase/metabase,11.53,45896,816,0,Clojure,0.8547,6751,Other,true,12
akullpp/awesome-java,12.11,800,0,6,Não informado,1.0000,7701,Creative Commons Attribution Share Alike 4.0 International,true,0
algorithm-visualizer/algorithm-visualizer,10.26,183,0,798,JavaScript,0.6111,7580,MIT License,false,5
iamkun/dayjs,8.35,727,128,0,JavaScript,0.4759,2461,MIT License,true,1
tmux/tmux,11.20,36,43,0,C,0.9932,2835,ISC License,true,9
DovAmir/awesome-design-patterns,8.20,30,0,660,Não informado,0.3529,3291,Não informado,false,0
mudler/LocalAI,3.41,6683,135,0,Go,0.9449,4362,MIT License,true,14
nilbuild/design-patterns-for-humans,9.49,50,0,622,Não informado,0.9038,5556,Não informado,false,0
type-challenges/type-challenges,6.07,600,0,92,TypeScript,0.1097,5273,MIT License,true,5
KRTirtho/spotube,5.50,261,44,0,Dart,0.6183,2246,Other,true,20
calesthio/OpenMontage,0.38,89,0,2,Python,0.3871,6051,GNU Affero General Public License v3.0,true,7
upscayl/upscayl,4.05,106,29,12,TypeScript,0.9490,2426,GNU Affero General Public License v3.0,true,5
Aider-AI/aider,3.27,288,93,86,Python,0.6922,4847,Apache License 2.0,true,10
brillout/awesome-react-components,10.14,343,0,202,Não informado,0.7377,3826,Creative Commons Zero v1.0 Universal,true,0
ReactiveX/RxJava,13.60,3586,267,5,Java,0.9970,7588,Apache License 2.0,true,3
slidevjs/slidev,5.31,900,429,2,TypeScript,0.8672,2143,MIT License,true,5
pixijs/pixijs,13.57,3878,308,2,TypeScript,0.9519,5061,MIT License,true,8
moeru-ai/airi,1.71,1214,81,0,TypeScript,0.8343,4755,MIT License,true,15
moment/moment,15.46,745,1,0,JavaScript,0.9597,6980,MIT License,true,3
karan/Projects,13.12,19,0,732,Não informado,0.3980,10615,MIT License,false,0
gogs/gogs,12.51,1958,98,10,Go,0.8195,5074,MIT License,true,10
calcom/cal.diy,5.40,13099,611,8,TypeScript,0.8814,14804,MIT License,true,12
minimaxir/big-list-of-naughty-strings,11.02,89,0,850,Python,0.3168,2154,MIT License,false,4
discourse/discourse,13.59,37142,1,0,Ruby,0.0000,8983,GNU General Public License v2.0,true,9
bevyengine/bevy,6.58,8599,58,0,Rust,0.6722,4763,Apache License 2.0,true,4
HKUDS/CLI-Anything,0.44,178,3,3,Python,0.5969,4411,Apache License 2.0,true,7
lukasz-madon/awesome-remote-job,11.62,628,0,0,Não informado,0.7895,4740,Não informado,true,0
prisma/prisma,7.16,7021,251,2,TypeScript,0.7955,2524,Apache License 2.0,true,3
oobabooga/textgen,3.65,1273,113,75,Python,0.8090,5979,GNU Affero General Public License v3.0,true,7
microsoft/qlib,6.01,756,23,24,Python,0.7187,7544,MIT License,true,6
GitHubDaily/GitHubDaily,7.63,3,0,228,Não informado,0.2033,4674,Não informado,false,0
acmesh-official/acme.sh,10.64,1627,48,2,Shell,0.9897,5655,GNU General Public License v3.0,true,2
router-for-me/CLIProxyAPI,1.13,685,815,0,Go,0.9830,7349,MIT License,true,4
jeecgboot/JeecgBoot,7.72,133,64,2,Java,0.9986,16149,Apache License 2.0,false,9
dypsilon/frontend-dev-bookmarks,13.15,129,1,817,Não informado,0.7009,5144,Não informado,false,0
coreybutler/nvm-windows,11.90,107,23,121,Go,0.9391,3861,MIT License,true,5
slab/quill,14.05,382,95,387,TypeScript,0.8495,3661,"BSD 3-Clause ""New"" or ""Revised"" License",true,8
hugohe3/ppt-master,0.68,31,22,0,Python,0.9350,3830,MIT License,true,4
typescript-cheatsheets/react,8.21,387,0,79,TypeScript,1.0000,4279,MIT License,true,3
HKUDS/nanobot,0.54,1503,19,0,Python,0.8657,8314,MIT License,true,8
lysine-dev/okhttp,14.07,4154,0,0,Kotlin,0.9795,9295,Apache License 2.0,true,3
gedoor/legado,7.24,0,0,81,Kotlin,0.0000,5534,Não informado,false,10
elder-plinius/CL4R1T4S,1.45,0,0,1,Não informado,0.1013,9544,GNU Affero General Public License v3.0,false,0
v2ray/v2ray-core,10.95,203,247,34,Go,0.9988,8819,MIT License,true,5
rohitg00/ai-engineering-from-scratch,0.41,185,2,6,Python,0.5479,8209,MIT License,true,10
serverless/serverless,11.32,5142,494,4,JavaScript,0.8330,5726,Other,true,11
KeygraphHQ/shannon,0.89,124,16,2,TypeScript,0.8921,5412,GNU Affero General Public License v3.0,true,5
exo-explore/exo,2.14,770,16,54,Python,0.7974,3433,Apache License 2.0,true,11
Asabeneh/30-Days-Of-JavaScript,6.65,100,0,253,JavaScript,0.3444,10463,Não informado,false,2
hiroi-sora/Umi-OCR,4.39,58,31,269,Python,0.5959,4572,MIT License,false,2
stablyai/orca,0.42,7646,930,0,TypeScript,0.4984,3249,MIT License,true,14
microsoft/monaco-editor,10.19,668,189,1,JavaScript,0.8077,4106,MIT License,true,6
zhayujie/CowAgent,4.03,408,80,0,Python,0.9922,10318,MIT License,true,8
apache/airflow,11.34,39599,126,0,Python,0.9268,17596,Apache License 2.0,true,17
SimplifyJobs/Summer2027-Internships,6.23,1675,0,0,Python,0.9875,3234,Não informado,true,1
kepano/obsidian-skills,0.62,16,0,69,Não informado,0.4348,3325,MIT License,false,0
usebruno/bruno,3.89,2647,171,2,JavaScript,0.7052,2784,MIT License,true,9
LeCoupa/awesome-cheatsheets,8.77,175,0,126,JavaScript,0.5980,6696,MIT License,false,7
9001/copyparty,7.23,211,345,0,Python,0.7830,1887,MIT License,false,12
multica-ai/multica,0.59,3075,138,0,Go,0.6200,5890,Other,true,13
docker/awesome-compose,6.51,153,0,1,HTML,0.3092,8291,Creative Commons Zero v1.0 Universal,true,15
ziishaned/learn-regex,9.07,132,0,355,Não informado,0.4138,6140,MIT License,false,0
RocketChat/Rocket.Chat,11.25,16861,1000,0,TypeScript,0.8546,13794,Other,true,12
iina/iina,9.66,1009,51,0,Swift,0.5933,2894,GNU General Public License v3.0,true,7
coqui-ai/TTS,6.24,467,98,730,Python,0.9992,6149,Mozilla Public License 2.0,true,7
jgm/pandoc,16.41,1800,158,0,Haskell,0.8831,3948,GNU General Public License v2.0,true,18
cli/cli,6.87,3140,200,2,Go,0.8403,8865,MIT License,true,5
helix-editor/helix,6.21,4875,30,4,Rust,0.8170,3679,Mozilla Public License 2.0,true,9
siyuan-note/siyuan,5.96,948,942,0,TypeScript,0.9961,2950,GNU Affero General Public License v3.0,true,13
android/architecture-samples,10.53,233,0,3,Kotlin,0.7042,11864,Apache License 2.0,true,1
DIYgod/RSSHub,8.37,13156,0,0,TypeScript,0.9512,10113,GNU Affero General Public License v3.0,true,6
zhongyang219/TrafficMonitor,9.05,79,27,25,C++,0.3583,3764,Other,true,3
google/zx,5.28,617,100,2,JavaScript,0.9616,1283,Apache License 2.0,true,3
milvus-io/milvus,6.92,26886,170,0,Go,0.9450,4178,Apache License 2.0,true,13
DavidHDev/react-bits,2.03,214,0,1,JavaScript,0.9962,2179,Other,false,4
Alishahryar1/free-claude-code,0.55,303,0,0,Python,0.6634,7552,MIT License,true,8
karanpratapsingh/system-design,4.00,14,0,39,Não informado,0.8750,5962,Other,false,0
streamlit/streamlit,6.98,8306,125,0,Python,0.8372,4364,Apache License 2.0,true,8
ColorlibHQ/AdminLTE,12.64,1583,87,6,Astro,0.9993,18178,MIT License,true,7
Leaflet/Leaflet,15.90,3327,34,5,JavaScript,0.9254,6144,"BSD 2-Clause ""Simplified"" License",true,4
jestjs/jest,12.68,5942,217,0,TypeScript,0.9832,6725,MIT License,true,5
abhigyanpatwari/GitNexus,1.04,1247,0,0,TypeScript,0.7749,5032,Other,true,21
grpc/grpc,11.69,20855,375,0,C++,0.9446,11358,Apache License 2.0,true,25
QuantumNous/new-api,2.77,1279,511,1,Go,0.7867,10720,GNU Affero General Public License v3.0,true,9
isocpp/CppCoreGuidelines,10.99,830,4,10,CSS,0.8084,5556,Other,true,4
GitSquared/edex-ui,9.55,399,29,1761,JavaScript,0.9893,3185,GNU General Public License v3.0,true,3
sickn33/agentic-awesome-skills,0.59,761,187,0,Python,1.0000,6587,MIT License,true,13
pyenv/pyenv,13.96,1112,165,1,Shell,0.9727,3265,MIT License,true,7
fastapi/full-stack-fastapi-template,7.48,726,15,2,TypeScript,1.0000,8932,MIT License,true,7
react-hook-form/react-hook-form,7.45,2313,618,0,TypeScript,0.9998,2467,MIT License,true,4
meteor/meteor,14.58,2923,0,2,JavaScript,0.9766,5240,Other,true,17
MHSanaei/3x-ui,3.52,1031,124,0,Go,0.9787,8506,GNU General Public License v3.0,true,8
sudheerj/reactjs-interview-questions,8.21,170,0,0,JavaScript,0.9735,10374,MIT License,false,4
mitmproxy/mitmproxy,16.50,2830,81,3,Python,0.8989,4689,MIT License,true,10
vercel/hyper,10.13,3292,88,48,TypeScript,0.7533,3574,MIT License,true,6
DataTalksClub/data-engineering-zoomcamp,4.82,462,0,67,Jupyter Notebook,1.0000,8744,Não informado,false,7
files-community/Files,7.61,5755,140,0,C#,0.9608,2821,MIT License,true,2
getsentry/sentry,15.96,91100,176,0,Python,0.8970,4810,Other,true,14
vnpy/vnpy,11.46,1077,67,6,Python,0.9927,12377,MIT License,true,3
coreyhaines31/marketingskills,0.58,187,39,18,JavaScript,0.7857,6986,MIT License,true,3
logseq/logseq,6.23,3389,153,0,Clojure,0.8911,2771,GNU Affero General Public License v3.0,true,16
spf13/cobra,12.95,631,27,36,Go,0.7976,3211,Apache License 2.0,true,2
charmbracelet/bubbletea,6.60,706,79,4,Go,0.7557,1293,MIT License,true,1
