nome,idade_anos,prs_aceitas,total_releases,dias_desde_atualizacao,linguagem,razao_issues_fechadas,total_forks,total_estrelas,razao_fork_estrela,licenca,possui_ci_cd,total_linguagens
apache/kafka,15.03,13914,0,0,Java,0.0000,15459,33630,0.45967885816235504,Apache License 2.0,true,8
bayandin/awesome-awesomeness,12.14,197,0,814,Ruby,0.7222,3601,33625,0.10709293680297398,Não informado,false,1
MetaCubeX/mihomo,5.27,325,62,0,Python,0.7730,4415,33578,0.13148490082792305,MIT License,true,1
shadowsocks/shadowsocks,14.35,70,2,877,Python,0.0000,18010,33557,0.536698751378252,Não informado,false,2
volcengine/OpenViking,0.64,2211,74,0,Python,0.8180,2552,33545,0.07607691161126845,GNU Affero General Public License v3.0,true,15
microsoft/WSL,10.39,1470,110,0,C++,0.9261,1808,33529,0.05392346923558711,MIT License,true,10
tinygrad/tinygrad,5.85,12462,16,0,Python,0.9030,4286,33508,0.12790975289483109,MIT License,true,12
nicolargo/glances,14.73,847,61,0,Python,0.9586,1796,33446,0.05369849907313281,Other,true,10
XX-net/XX-Net,11.61,364,390,65,Python,0.4074,7531,33444,0.2251823944504246,Não informado,true,8
lutzroeder/netron,15.67,1,9,0,JavaScript,0.9874,3178,33406,0.09513261090822007,MIT License,true,5
AFNetworking/AFNetworking,15.24,710,40,1317,Objective-C,0.0000,10605,33392,0.3175910397700048,MIT License,true,5
linshenkx/prompt-optimizer,1.53,61,48,0,TypeScript,0.9688,3920,33382,0.11742855431070637,Other,true,8
motiondivision/motion,7.78,1285,0,0,TypeScript,0.9465,1340,33369,0.040157031975785906,MIT License,true,6
Leey21/awesome-ai-research-writing,0.57,0,0,7,Não informado,0.8077,2448,33365,0.07337029821669414,Não informado,false,0
dgtlmoon/changedetection.io,5.58,1187,216,0,Python,0.8213,1975,33353,0.05921506311276347,Apache License 2.0,true,6
waydabber/BetterDisplay,4.84,2,133,7,Não informado,0.9307,634,33345,0.019013345329134804,Não informado,false,0
mckaywrigley/chatbot-ui,3.46,281,0,753,TypeScript,0.8093,9422,33340,0.28260347930413915,MIT License,false,5
google/comprehensive-rust,3.68,2512,0,0,Rust,0.6863,2070,33327,0.062111801242236024,Apache License 2.0,true,13
remix-run/remix,5.83,4055,639,0,TypeScript,0.9903,2790,33325,0.08372093023255814,MIT License,true,6
alibaba/nacos,8.20,3916,98,0,Java,0.9832,13284,33307,0.3988350797129733,Apache License 2.0,true,10
zeromicro/go-zero,6.05,2510,154,2,Go,0.9469,4313,33280,0.12959735576923076,MIT License,true,9
datawhalechina/happy-llm,2.25,30,3,18,Jupyter Notebook,0.5956,3155,33271,0.09482732710168014,Other,false,2
vbenjs/vue-vben-admin,6.13,1925,63,0,Vue,0.9826,8941,33239,0.2689912452239839,MIT License,true,8
certbot/certbot,11.79,4132,72,1,Python,0.9778,3509,33215,0.10564503989161524,Other,true,9
qier222/YesPlayMusic,5.88,297,32,73,Vue,0.6512,4676,33205,0.1408221653365457,MIT License,true,8
bilibili/ijkplayer,13.23,35,0,743,C,0.4727,8235,33200,0.2480421686746988,GNU General Public License v2.0,false,7
pear-devs/pear-desktop,7.35,1659,88,0,TypeScript,0.7382,1958,33189,0.05899545029979813,MIT License,true,4
cursor/cursor,3.46,49,0,106,Não informado,0.0000,2287,33180,0.06892706449668475,Não informado,false,0
JCodesMore/ai-website-cloner-template,0.46,21,6,11,JavaScript,1.0000,4837,33174,0.14580695725568216,MIT License,true,5
jdx/mise,3.63,6934,622,0,Rust,0.0000,1397,33086,0.042223296862721395,MIT License,true,13
FreeCAD/FreeCAD,13.96,14530,116,0,C++,0.7217,5943,33082,0.17964451967837494,GNU Lesser General Public License v2.1,true,19
binarywang/WxJava,10.64,1287,31,1,Java,0.9984,9061,33051,0.2741520680160963,Apache License 2.0,true,2
immutable-js/immutable-js,12.15,682,100,9,TypeScript,0.9224,1859,33040,0.05626513317191283,MIT License,true,5
