nome,idade_anos,prs_aceitas,total_releases,dias_desde_atualizacao,linguagem,razao_issues_fechadas,total_forks,total_estrelas,razao_fork_estrela,licenca,possui_ci_cd,total_linguagens
denoland/deno,8.28,16493,388,0,Rust,0.9211,6353,108308,0.058656793588654575,MIT License,true,17
openai/whisper,3.94,122,13,29,Python,0.0000,13099,107972,0.12131848997888342,MIT License,true,1
google-gemini/gemini-cli,1.36,6669,601,0,TypeScript,0.9581,14489,106693,0.1358008491653623,Apache License 2.0,true,8
goldbergyoni/nodebestpractices,8.95,766,0,72,Dockerfile,0.8397,10721,105599,0.10152558262862338,Creative Commons Attribution Share Alike 4.0 International,true,2
microsoft/terminal,9.04,4526,156,0,C++,0.8814,9551,104694,0.09122776854452022,MIT License,true,12
deepseek-ai/DeepSeek-V3,1.67,25,1,363,Python,0.8757,16730,104415,0.16022602116554135,MIT License,true,1
rasbt/LLMs-from-scratch,3.09,508,0,2,Jupyter Notebook,0.9917,15891,103851,0.15301730363694138,Other,true,3
react/create-react-app,10.11,1949,83,557,JavaScript,0.7799,26914,103280,0.2605925639039504,MIT License,true,8
pytorch/pytorch,10.04,6615,68,0,Python,0.7699,28993,102602,0.28257733767372956,Other,true,26
neovim/neovim,12.57,19734,55,0,Vim Script,0.8907,7055,101984,0.0691775180420458,Other,true,16
Anduin2017/HowToCook,6.49,647,5,1,Não informado,0.4597,11084,101977,0.1086911754611334,The Unlicense,true,0
fastapi/fastapi,7.72,3571,300,0,Python,0.9997,9817,101864,0.09637359616743894,MIT License,true,5
ruanyf/weekly,7.87,121,0,0,Não informado,0.1623,4372,101343,0.04314062145387446,Não informado,false,0
JuliusBrussee/caveman,0.40,60,27,1,Go,0.5123,5871,101164,0.05803447866830098,Other,true,8
angular/angular,11.94,7442,693,0,TypeScript,0.9682,27439,100998,0.2716786471019228,MIT License,true,7
TauricResearch/TradingAgents,1.66,27,8,39,Python,0.5896,19411,100722,0.192718571910804,Apache License 2.0,true,2
mtdvio/every-programmer-should-know,9.01,109,0,240,Não informado,0.6596,8772,100342,0.08742102011121963,Creative Commons Attribution 4.0 International,false,0
ant-design/ant-design,11.34,18267,759,0,TypeScript,0.9691,54695,99206,0.5513275406729432,MIT License,true,6
mui/material-ui,12.02,22214,572,0,JavaScript,0.9329,32555,98937,0.3290477778788522,MIT License,true,4
nvbn/thefuck,11.38,482,17,768,Python,0.6106,3959,97744,0.04050376493697823,MIT License,true,5
earendil-works/pi,1.05,928,256,0,TypeScript,0.9855,12090,97742,0.12369298766139428,MIT License,true,8
tailwindlabs/tailwindcss,8.89,3476,307,12,TypeScript,0.9945,5586,97337,0.0573882490728089,MIT License,true,6
florinpop17/app-ideas,7.50,151,0,319,Não informado,0.2637,10599,97101,0.10915438563969475,MIT License,false,0
microsoft/Web-Dev-For-Beginners,5.79,689,0,21,JavaScript,0.8522,15821,96483,0.16397707368137393,MIT License,true,5
hacksider/Deep-Live-Cam,2.92,123,13,0,Python,0.9813,14021,96133,0.14585002028439767,GNU Affero General Public License v3.0,true,2
oven-sh/bun,5.37,9997,215,0,Rust,0.8114,5003,95712,0.05227139752591107,Other,true,18
puppeteer/puppeteer,9.30,6238,703,0,TypeScript,0.9668,9567,95498,0.1001801084839473,Apache License 2.0,true,7
microsoft/playwright,6.78,17754,165,0,TypeScript,0.9916,6344,95174,0.06665686006682497,Apache License 2.0,true,15
ryanmcdermott/clean-code-javascript,9.75,149,0,758,JavaScript,0.6721,12619,94765,0.13316097715401257,MIT License,false,1
nvm-sh/nvm,16.36,761,74,8,Shell,0.8613,10399,94755,0.10974618753627777,MIT License,true,4
karpathy/autoresearch,0.47,7,0,153,Python,0.5221,13362,94751,0.14102225834028137,Não informado,false,2
iluwatar/java-design-patterns,12.05,1585,0,1,Java,0.8793,27396,94623,0.2895279160457817,Other,true,5
punkpeye/awesome-mcp-servers,1.74,3393,0,0,Não informado,0.9735,15110,92853,0.16273033719965968,MIT License,true,0
3b1b/manim,11.43,702,13,8,Python,0.6265,7587,92080,0.08239574283231972,MIT License,true,2
deepseek-ai/DeepSeek-R1,1.60,10,1,425,Não informado,0.9835,11702,92038,0.12714313653056347,MIT License,true,0
thedotmack/claude-mem,0.99,517,310,0,JavaScript,0.9717,8079,91932,0.08788017230126616,Apache License 2.0,true,5
nexu-io/open-design,0.33,3021,31,0,TypeScript,0.7470,10561,91762,0.11509121422811186,Apache License 2.0,true,13
ruvnet/RuView,1.22,409,292,0,Rust,0.9143,12178,91743,0.13274037256248433,MIT License,true,17
storybookjs/storybook,10.44,13184,1000,0,TypeScript,0.8918,10408,90941,0.11444782881208695,MIT License,true,13
louislam/uptime-kuma,5.15,1837,134,0,JavaScript,0.8566,8296,90643,0.09152389042728065,MIT License,true,13
opencv/opencv,14.10,14095,69,0,C++,0.7812,56972,90612,0.6287467443605703,Apache License 2.0,true,19
Stirling-Tools/Stirling-PDF,3.58,4173,186,0,Java,0.8025,8205,90489,0.09067400457514173,Other,true,14
sherlock-project/sherlock,7.67,744,2,0,Python,0.9168,10608,90361,0.11739577915251048,MIT License,true,3
PanJiaChen/vue-element-admin,9.36,311,49,671,Vue,0.6524,30344,90208,0.3363781482795318,MIT License,false,6
vllm-project/vllm,3.54,20394,104,0,Python,0.8741,21249,90143,0.2357254584382592,Apache License 2.0,true,10
home-assistant/core,12.94,90760,1000,0,Python,0.9630,38409,90116,0.42621731989879713,Apache License 2.0,true,7
bitcoin/bitcoin,15.69,16863,68,0,C++,0.9638,39341,90016,0.4370445254177035,MIT License,true,16
addyosmani/agent-skills,0.53,134,9,5,JavaScript,0.5745,9628,90007,0.10696945793104981,MIT License,true,5
mermaid-js/mermaid,11.82,2830,210,0,TypeScript,0.6162,9187,89953,0.10213111291452202,MIT License,true,10
modelcontextprotocol/servers,1.77,1229,27,6,TypeScript,0.7889,11513,89887,0.12808303759164283,Other,true,4
microsoft/ML-For-Beginners,5.48,496,0,6,Jupyter Notebook,0.9879,22093,89824,0.24595876380477377,MIT License,true,7
gohugoio/hugo,13.15,3490,381,0,Go,0.9743,8349,89555,0.09322762548154766,Apache License 2.0,true,9
localsend/localsend,3.70,734,27,2,Dart,0.4489,4977,89443,0.05564437686571336,Apache License 2.0,true,16
infiniflow/ragflow,2.71,8743,53,0,Go,0.8317,10511,89322,0.11767537672689819,Apache License 2.0,true,15
zed-industries/zed,5.51,26583,1000,0,Rust,0.8888,10267,89267,0.11501450704067573,Other,true,19
astral-sh/uv,2.90,10180,304,0,Rust,0.7438,3517,89121,0.03946320171452295,Apache License 2.0,true,11
gin-gonic/gin,12.19,1247,29,11,Go,0.7484,8680,89117,0.09740004712905506,MIT License,true,2
django/django,14.33,10694,0,3,Python,0.0000,34184,88955,0.38428418863470293,"BSD 3-Clause ""New"" or ""Revised"" License",true,7
MunGell/awesome-for-beginners,10.84,484,0,32,Não informado,0.9065,7985,88743,0.08997892791544122,Não informado,true,0
ChatGPTNextWeb/NextChat,3.46,912,77,15,TypeScript,0.8045,59201,88650,0.6678059785673999,MIT License,true,6
PaddlePaddle/PaddleOCR,6.30,3199,33,35,Python,0.9850,11237,88311,0.12724349175074454,Apache License 2.0,true,20
syncthing/syncthing,12.75,2927,480,1,Go,0.9394,5434,88014,0.06174017769900243,Mozilla Public License 2.0,true,9
sveltejs/svelte,9.76,6858,636,0,JavaScript,0.8985,5218,87990,0.059302193431071716,MIT License,true,5
ByteByteGoHq/system-design-101,2.94,23,0,509,Não informado,0.3125,9755,87615,0.1113393825258232,Other,true,0
OpenCut-app/OpenCut,1.18,192,3,16,TypeScript,0.2670,8582,86900,0.09875719217491369,MIT License,true,3
odysseus-dev/odysseus,0.24,1439,0,1,Python,0.5275,667,86299,0.007728942397942039,GNU Affero General Public License v3.0,true,10
OpenHands/OpenHands,2.46,7550,134,0,TypeScript,0.9287,11136,85191,0.13071803359509807,MIT License,true,8
laravel/laravel,15.22,1710,228,1,Blade,0.0000,24890,84876,0.2932513313539752,Não informado,true,4
macrozheng/mall,8.40,1,3,104,Java,0.9782,29825,84633,0.3524039086408375,Apache License 2.0,false,3
koala73/worldmonitor,0.63,4739,43,0,TypeScript,0.8431,12649,84301,0.15004566968363364,GNU Affero General Public License v3.0,true,14
bregman-arie/devops-exercises,6.90,309,0,242,Python,0.6574,20241,84277,0.24017228899937113,Other,true,5
DopplerHQ/awesome-interview-questions,10.74,175,0,758,Não informado,0.5574,9560,84214,0.11352031728691192,Não informado,true,0
realworld-apps/realworld,10.50,438,0,0,TypeScript,0.9526,7654,84137,0.09097067877390447,Other,true,8
Developer-Y/cs-video-courses,9.85,286,0,0,Não informado,0.0000,11444,83182,0.1375778413599096,Não informado,false,0
animate-css/animate.css,14.87,315,22,758,CSS,0.9515,15918,82753,0.19235556414873176,Other,true,4
fighting41love/funNLP,8.01,14,0,838,Python,0.5217,15278,82695,0.1847511941471673,Não informado,false,1
junegunn/fzf,12.84,690,84,0,Go,0.9174,2859,82666,0.03458495633029299,MIT License,true,9
vitejs/vite,6.35,6656,715,0,TypeScript,0.9434,8681,82541,0.10517197513962757,MIT License,true,14
lobehub/lobehub,3.27,8032,1000,0,TypeScript,0.9508,15838,82021,0.19309688982089954,Other,true,14
mlabonne/llm-course,3.19,2,0,202,Não informado,0.3300,9541,82005,0.11634656423388817,Apache License 2.0,false,0
tonsky/FiraCode,11.79,145,29,29,Clojure,0.6957,3189,81951,0.038913497089724344,SIL Open Font License 1.1,true,8
jesseduffield/lazygit,8.27,2046,186,0,Go,0.6835,3004,81660,0.036786676463384765,MIT License,true,6
spring-projects/spring-boot,13.85,217,355,0,Java,0.9893,42089,81367,0.5172735875723573,Apache License 2.0,true,15
Leonxlnx/taste-skill,0.51,15,0,2,JavaScript,0.3023,5550,80981,0.06853459453452045,MIT License,false,2
bytedance/deer-flow,1.31,1820,1,0,Python,0.7296,11141,80954,0.13762136521975443,MIT License,true,12
TapXWorld/ChinaTextbook,6.64,1,0,312,Roff,0.4188,18354,80867,0.22696526395192104,Não informado,false,1
Egonex-AI/Understand-Anything,0.45,125,8,0,TypeScript,0.5510,6780,80604,0.08411493226142623,MIT License,true,8
swisskyrepo/PayloadsAllTheThings,9.86,570,5,17,Python,0.0000,17326,80401,0.21549483215382892,MIT License,true,12
netdata/netdata,13.19,13013,138,0,Go,0.9768,6602,80306,0.08221054466665006,GNU General Public License v3.0,true,20
hoppscotch/hoppscotch,7.02,2145,107,0,TypeScript,0.7730,6057,80099,0.07561892158453913,MIT License,true,14
d2l-ai/d2l-zh,9.01,1019,16,757,Python,0.0000,12347,79976,0.15438381514454336,Apache License 2.0,true,4
anuraghazra/github-readme-stats,6.13,1569,0,26,JavaScript,0.8797,37085,79832,0.4645380298627117,MIT License,true,2
unclecode/crawl4ai,2.30,233,20,1,Python,0.9628,8232,79464,0.10359408033826638,Apache License 2.0,true,4
paperclipai/paperclip,0.49,1934,22,0,TypeScript,0.2692,14571,79429,0.18344685190547533,MIT License,true,11
Z4nzu/hackingtool,6.38,59,0,3,Python,0.7733,8979,79123,0.11348154139757087,MIT License,true,4
doocs/advanced-java,7.89,96,1,2,Java,1.0000,19170,79088,0.24238822577382158,Creative Commons Attribution Share Alike 4.0 International,true,1
coder/code-server,7.49,1764,254,1,TypeScript,0.9630,6825,79079,0.08630609896432681,MIT License,true,9
ventoy/Ventoy,6.46,302,115,20,C,0.6824,4907,78951,0.062152474319514636,GNU General Public License v3.0,true,18
awesomedata/awesome-public-datasets,11.77,188,1,0,Não informado,0.3740,11814,78655,0.15020024156124848,MIT License,false,0
opendatalab/MinerU,2.49,1542,186,1,Python,0.9761,6603,78554,0.0840568271507498,Other,true,2
elastic/elasticsearch,16.55,95962,261,0,Java,0.9014,26057,77862,0.33465618658652485,Other,true,21
dair-ai/Prompt-Engineering-Guide,3.69,342,0,168,MDX,0.2913,8546,77808,0.10983446432243471,MIT License,true,6
tensorflow/models,10.56,2345,51,0,Python,0.8535,44879,77652,0.5779503425539587,Other,true,10
rtk-ai/rtk,0.59,555,284,0,Rust,0.3102,4876,77525,0.06289584005159626,Apache License 2.0,true,5
nomic-ai/gpt4all,3.42,938,38,456,C++,0.6718,8296,77395,0.10719038697590283,MIT License,true,13
FortAwesome/Font-Awesome,14.52,222,65,42,JavaScript,0.9855,12184,76875,0.1584910569105691,Other,false,3
MisterBooo/LeetCodeAnimation,7.72,63,0,75,Java,0.7049,13882,76700,0.18099087353324642,Não informado,true,3
D4Vinci/Scrapling,1.87,109,53,1,Python,1.0000,7662,76647,0.09996477357235117,"BSD 3-Clause ""New"" or ""Revised"" License",true,2
nestjs/nest,9.56,8744,160,0,TypeScript,0.9990,8527,76464,0.11151653065494874,MIT License,true,3
grafana/grafana,12.71,69781,640,0,TypeScript,0.9401,14639,76436,0.1915197027578628,GNU Affero General Public License v3.0,true,23
sdmg15/Best-websites-a-programmer-should-visit,9.48,430,0,344,Não informado,0.5676,8568,76265,0.11234511243689765,MIT License,false,0
tesseract-ocr/tesseract,12.04,1471,36,1,C++,0.8424,10771,76199,0.14135356107035527,Apache License 2.0,true,9
redis/redis,17.43,4769,150,0,C,0.6800,24765,76113,0.3253714871309763,Other,true,9
AppFlowy-IO/AppFlowy,5.19,3895,142,15,Dart,0.7871,5914,75974,0.07784241977518624,GNU Affero General Public License v3.0,true,18
ocornut/imgui,12.10,427,122,3,C++,0.8485,12026,75880,0.1584870848708487,MIT License,true,8
typicode/json-server,12.75,171,49,156,JavaScript,0.4828,7271,75690,0.0960628880961818,MIT License,true,2
Panniantong/Agent-Reach,0.50,174,7,1,Python,0.6763,6458,75597,0.08542667037051735,MIT License,true,3
openai/openai-cookbook,4.46,1093,0,0,Jupyter Notebook,0.9004,12770,75570,0.16898240042344845,MIT License,true,2
obsproject/obs-studio,12.90,5587,247,0,C,0.8459,9899,75476,0.13115427420637024,GNU General Public License v2.0,true,13
shareAI-lab/learn-claude-code,1.16,90,0,0,Python,0.8744,12165,75375,0.16139303482587064,MIT License,true,4
caddyserver/caddy,11.62,2399,136,1,Go,0.9568,4912,75227,0.06529570499953474,Apache License 2.0,true,3
PKUFlyingPig/cs-self-learning,4.85,319,5,13,HTML,0.4538,7991,75183,0.10628732559222165,MIT License,true,1
datawhalechina/hello-agents,0.97,171,3,8,Python,0.7949,9324,75060,0.12422062350119904,Other,false,11
python/cpython,9.54,62841,0,0,Python,0.9094,35283,74929,0.4708857718640313,Other,true,23
unslothai/unsloth,2.74,3830,57,0,Python,0.7751,6780,74872,0.0905545464259002,Apache License 2.0,true,12
abi/screenshot-to-code,2.78,83,0,12,Python,0.7012,9141,74632,0.12248097330903635,MIT License,false,7
apache/superset,11.10,19860,267,0,Python,0.9834,18179,74470,0.24411172284141264,Apache License 2.0,true,13
enaqx/awesome-react,12.06,799,0,6,Não informado,0.9606,7625,74404,0.10248104940594592,Não informado,false,0
hiyouga/LlamaFactory,3.25,1021,36,1,Python,0.8756,9101,74382,0.12235487080207577,Apache License 2.0,true,3
josephmisiti/awesome-machine-learning,12.12,932,0,0,Python,0.9915,15631,74172,0.21073990184975464,Other,false,1
Eugeny/tabby,9.67,1580,209,2,TypeScript,0.5725,4223,74159,0.05694521231408191,MIT License,true,11
thedaviddias/Front-End-Checklist,8.86,180,2,12,MDX,0.9744,6710,73883,0.09081926830258652,Não informado,true,5
twitter/the-algorithm,3.42,2,0,352,Scala,0.6962,13287,73868,0.17987491200519845,GNU Affero General Public License v3.0,false,12
unionlabs/union,3.28,3128,113,32,Rust,0.9305,3888,73823,0.052666513146309414,Apache License 2.0,true,16
binhnguyennus/awesome-scalability,8.66,37,0,234,Não informado,0.0000,7106,73541,0.09662637168382263,MIT License,false,0
vuejs/awesome-vue,10.85,3655,0,33,Não informado,0.8248,9454,73540,0.1285558879521349,MIT License,true,0
ComposioHQ/awesome-claude-skills,0.86,38,0,15,Python,0.0748,8416,73349,0.11473912391443646,Não informado,true,3
CompVis/stable-diffusion,4.04,5,0,799,Jupyter Notebook,0.2703,10576,73346,0.14419327570692336,Other,false,3
microsoft/ai-agents-for-beginners,1.74,511,0,0,Jupyter Notebook,0.9920,24236,73277,0.330744981372054,MIT License,true,5
danielmiessler/SecLists,14.52,709,30,0,PHP,0.9726,25101,73103,0.3433648413881783,MIT License,true,13
strapi/strapi,10.91,10406,542,0,TypeScript,0.9797,9850,73015,0.13490378689310414,Other,true,6
fffaraz/awesome-cpp,12.11,886,0,4,Não informado,0.6071,8325,72949,0.11412082413741106,MIT License,true,0
NationalSecurityAgency/ghidra,7.49,589,55,1,Java,0.7475,7973,72866,0.10942003129031373,Apache License 2.0,true,25
juliangarnier/anime,10.45,87,37,4,JavaScript,0.8857,4891,72446,0.06751235402920797,MIT License,false,3
OpenBB-finance/OpenBB,5.68,4303,56,27,Python,0.9776,7459,72335,0.10311743969032972,Other,true,1
hakimel/reveal.js,15.22,416,51,2,JavaScript,0.6804,16986,72202,0.2352566410902745,MIT License,true,5
chrislgarry/Apollo-11,12.40,0,0,42,Assembly,0.0000,7986,72194,0.11061861096490012,Other,true,1
pallets/flask,16.39,1633,38,10,Python,1.0000,16949,72137,0.23495570927540652,"BSD 3-Clause ""New"" or ""Revised"" License",true,4
moby/moby,13.60,23081,308,0,Go,0.8609,19207,72001,0.26676018388633493,Apache License 2.0,true,11
Asabeneh/30-Days-Of-Python,6.77,145,0,6,Python,0.5000,13203,71956,0.18348713102451497,Não informado,false,4
toeverything/AFFiNE,4.07,9364,572,0,TypeScript,0.8501,5196,71915,0.07225196412431342,Other,true,17
daytonaio/daytona,2.55,2505,205,33,Não informado,0.7474,5645,71867,0.0785478731545772,Não informado,false,0
protocolbuffers/protobuf,12.00,9801,219,0,C++,0.9816,16250,71824,0.22624749387391402,Other,true,27
nektos/act,7.65,1061,97,16,Go,0.8052,2014,71648,0.02810964716391246,MIT License,true,4
666ghj/MiroFish,0.75,27,3,9,Python,0.8778,11125,71568,0.15544656829868098,GNU Affero General Public License v3.0,true,5
binary-husky/gpt_academic,3.44,228,32,213,Python,0.8330,8320,71245,0.11678012492104708,GNU General Public License v3.0,true,5
prakhar1989/awesome-courses,11.78,194,0,1210,Não informado,0.4767,8398,70679,0.11881888538321142,Não informado,false,0
ansible/ansible,14.47,40067,252,0,Python,0.9843,24324,70473,0.34515346302839384,GNU General Public License v3.0,false,7
swiftlang/swift,10.84,60795,70,0,Swift,0.5790,10804,70296,0.1536929555024468,Apache License 2.0,false,21
FoundationAgents/MetaGPT,3.16,673,22,217,Python,0.9836,8906,70050,0.12713775874375446,MIT License,true,5
ruvnet/ruflo,1.23,580,1000,0,TypeScript,0.6535,8306,69477,0.11955035479367272,MIT License,true,15
expressjs/express,17.17,554,165,4,JavaScript,0.9742,24838,69395,0.3579220404928309,MIT License,true,1
santifer/career-ops,0.39,1288,39,0,JavaScript,0.8467,12998,68661,0.1893068845487249,MIT License,true,9
base/node,3.57,274,86,35,Shell,0.9866,3256,68408,0.047596772307332474,MIT License,true,2
code-yeongyu/oh-my-openagent,0.73,2760,246,0,TypeScript,0.8110,5597,68397,0.08183107446233022,Other,true,10
colbymchenry/codegraph,0.60,478,31,0,C,0.7669,4343,68245,0.06363836178474613,MIT License,true,23
openinterpreter/openinterpreter,3.12,438,65,6,Rust,0.9982,5867,68160,0.0860768779342723,Apache License 2.0,true,16
headroomlabs-ai/headroom,0.63,1515,168,0,Python,0.7303,5225,67699,0.07717986971742566,Apache License 2.0,true,13
chartjs/Chart.js,13.44,3018,117,90,JavaScript,0.9318,11943,67664,0.17650449278789312,MIT License,true,4
BurntSushi/ripgrep,10.46,571,75,22,Rust,0.9347,2743,67619,0.04056552152501516,The Unlicense,true,6
labmlai/annotated_deep_learning_paper_implementations,6.00,104,0,216,Python,0.8042,6750,67358,0.100210813860269,MIT License,false,3
gorhill/uBlock,11.40,0,289,1,JavaScript,0.9962,4303,67304,0.0639337929394984,GNU General Public License v3.0,true,7
apache/echarts,13.40,1524,125,22,TypeScript,0.9305,19810,67154,0.29499359680733833,Apache License 2.0,true,5
microsoft/AI-For-Beginners,5.48,312,0,36,Jupyter Notebook,0.9343,12949,67146,0.192848419861198,MIT License,true,7
scikit-learn/scikit-learn,16.03,14735,50,0,Python,0.8745,27319,67065,0.4073510773130545,"BSD 3-Clause ""New"" or ""Revised"" License",true,9
cline/cline,2.14,4549,397,0,TypeScript,0.8464,7229,66909,0.10804226636177494,Apache License 2.0,true,8
bradtraversy/design-resources-for-developers,6.31,978,0,94,Não informado,0.0000,12153,66752,0.18206196069031638,MIT License,false,0
sindresorhus/awesome-nodejs,12.13,421,0,115,Não informado,0.9714,6227,66622,0.0934676233076161,Creative Commons Zero v1.0 Universal,false,0
xtekky/gpt4free,3.41,907,511,0,Python,0.9995,13514,66606,0.2028946341170465,GNU General Public License v3.0,true,6
leonardomso/33-js-concepts,7.98,269,0,24,JavaScript,0.9917,9137,66515,0.13736751108772458,MIT License,true,1
Fission-AI/OpenSpec,1.06,590,45,0,TypeScript,0.8322,4568,66348,0.06884909869174655,MIT License,true,5
dani-garcia/vaultwarden,8.52,1168,86,2,Rust,0.9942,3156,66307,0.047596784653204036,GNU Affero General Public License v3.0,true,9
TheAlgorithms/Java,10.11,2396,0,0,Java,0.9968,21247,66185,0.3210244012993881,MIT License,true,2
facebook/docusaurus,9.18,5875,157,0,TypeScript,0.9178,10016,66092,0.15154632935907522,MIT License,true,6
webpack/webpack,14.46,6420,462,0,JavaScript,0.9946,9522,65962,0.14435584124192716,MIT License,true,10
LadybirdBrowser/ladybird,2.24,8183,0,0,C++,0.7468,3135,65849,0.047608923446066,"BSD 2-Clause ""Simplified"" License",true,18
prometheus/prometheus,13.75,8884,377,0,Go,0.9233,10800,65839,0.16403651331277813,Apache License 2.0,true,12
kelseyhightower/nocode,8.55,1,1,749,Dockerfile,0.1483,4819,65669,0.07338317927789367,Apache License 2.0,false,1
docling-project/docling,2.13,1172,209,0,Python,0.5478,4696,65601,0.07158427462995991,MIT License,true,4
alacritty/alacritty,10.52,1938,108,0,Rust,0.9482,3589,65519,0.05477800332727911,Apache License 2.0,true,4
lydiahallie/javascript-questions,7.21,327,0,752,Não informado,0.9209,9195,65328,0.14075128581925056,MIT License,false,0
Mintplex-Labs/anything-llm,3.23,1580,34,0,JavaScript,0.9213,7191,65246,0.11021365294424179,MIT License,true,11
kdn251/interviews,9.53,42,0,471,Java,0.4068,12901,65227,0.19778619283425575,MIT License,false,1
shanraisshan/claude-code-best-practice,0.82,48,0,0,HTML,0.8596,6490,65186,0.09956125548430644,MIT License,false,2
localstack/localstack,9.83,6814,106,156,Python,1.0000,4789,65145,0.0735129326886177,Other,true,14
tw93/Mole,0.92,341,62,0,Shell,0.9989,2282,65034,0.03508933788479872,GNU General Public License v3.0,true,4
nocodb/nocodb,8.82,6503,199,0,TypeScript,0.9159,5021,64747,0.07754799450167575,Other,true,10
gsd-build/get-shit-done,0.70,1202,78,87,JavaScript,1.0000,5460,64637,0.08447174219100516,MIT License,true,3
traefik/traefik,10.95,5545,555,0,Go,0.8999,6160,64605,0.09534865722467302,MIT License,true,9
warpdotdev/warp,5.13,2276,56,0,Rust,0.6468,5471,64547,0.08475994236757711,GNU Affero General Public License v3.0,true,18
ryanoasis/nerd-fonts,11.73,610,40,4,CSS,0.9879,3950,64424,0.06131255432757978,Other,true,5
keras-team/keras,11.42,5221,93,0,Python,0.9889,19764,64253,0.3075965324576284,Apache License 2.0,true,2
mem0ai/mem0,3.19,2531,391,0,Python,0.8769,7504,64110,0.11704882233660896,Apache License 2.0,true,8
scrapy/scrapy,16.51,2848,53,0,Python,0.9279,11920,64047,0.18611332302840103,"BSD 3-Clause ""New"" or ""Revised"" License",true,5
ZhuLinsen/daily_stock_analysis,0.63,691,35,1,Python,0.9424,53722,64000,0.83940625,MIT License,true,10
rust-lang/rustlings,10.95,953,46,1,Rust,0.9688,11249,63955,0.17588929716206708,MIT License,true,5
NanmiCoder/MediaCrawler,3.22,142,0,12,Python,0.7444,12417,63822,0.19455673592178246,Other,true,2
FFmpeg/FFmpeg,15.37,0,0,0,C,0.0000,14198,63667,0.22300406804152859,Other,false,18
asgeirtj/system_prompts_leaks,1.32,32,0,1,JavaScript,0.7419,10419,63616,0.1637795523138833,Creative Commons Zero v1.0 Universal,false,2
commaai/openpilot,9.75,13306,63,0,Python,0.9740,11289,63508,0.17775713295962714,MIT License,true,7
tldr-pages/tldr,12.72,19559,6,0,Markdown,0.8712,5386,63487,0.08483626569218895,Other,true,5
socketio/socket.io,16.46,450,98,33,TypeScript,0.9547,10302,63207,0.1629882766149319,MIT License,true,5
virattt/ai-hedge-fund,1.74,53,11,19,Python,0.8136,11080,63060,0.17570567713288932,MIT License,false,1
pbakaus/impeccable,0.78,294,48,0,JavaScript,0.8294,3845,62919,0.06111031643859566,Apache License 2.0,true,7
resume/resume.github.com,15.55,84,0,1288,JavaScript,0.5115,1370,62887,0.021785106619810136,Não informado,false,4
git/git,18.09,4,0,0,C,0.0000,28307,62807,0.4506981705860812,Other,true,17
jgraph/drawio-desktop,9.25,44,189,0,JavaScript,0.9978,5751,62805,0.09156914258418916,Apache License 2.0,true,3
usememos/memos,4.72,2089,96,0,Go,0.9906,4700,62558,0.07513027910099428,MIT License,true,7
karpathy/nanoGPT,3.66,45,0,287,Python,0.3168,10764,62511,0.17219369390987185,MIT License,false,1
topjohnwu/Magisk,9.96,1728,156,0,Kotlin,0.9949,18405,62449,0.29472049192140787,GNU General Public License v3.0,true,9
pathwaycom/pathway,3.75,29,89,0,Python,0.8256,1679,62383,0.0269143837263357,Other,true,4
youngyangyang04/leetcode-master,6.70,2311,0,23,Shell,0.2420,12305,62291,0.19754057568509095,Não informado,false,1
withastro/astro,5.45,9275,1000,0,TypeScript,0.9976,3743,62075,0.06029802658074909,Other,true,11
sansan0/TrendRadar,1.33,2,0,40,Python,0.9274,24873,61855,0.4021178562767763,GNU General Public License v3.0,true,5
PlexPt/awesome-chatgpt-prompts-zh,3.71,33,0,120,Não informado,0.6078,13540,61833,0.21897692170847283,MIT License,false,0
byoungd/up,9.24,31,0,2,JavaScript,0.7669,6247,61717,0.10122008522773304,Other,true,1
2dust/v2rayNG,7.28,673,308,3,Kotlin,0.9963,8007,61647,0.12988466592048276,GNU General Public License v3.0,true,3
reduxjs/redux,11.24,1767,78,6,TypeScript,0.9812,15192,61509,0.2469882456225918,MIT License,true,3
FuelLabs/sway,5.60,3717,189,0,Rust,0.7347,5414,61483,0.08805686124619813,Apache License 2.0,true,8
minio/minio,11.61,9882,521,124,Go,0.9944,7810,61374,0.12725258252680288,GNU Affero General Public License v3.0,true,6
lodash/lodash,14.39,644,4,54,JavaScript,0.9876,7195,61283,0.1174061322063215,Other,true,3
ChrisTitusTech/winutil,4.33,1472,46,2,PowerShell,0.9925,3567,61270,0.05821772482454709,MIT License,true,2
upstash/context7,1.42,488,106,0,TypeScript,0.9872,2953,61264,0.04820122747453643,MIT License,true,3
RVC-Boss/GPT-SoVITS,2.61,367,4,8,Python,0.6131,6632,61252,0.10827401554234964,MIT License,true,6
tw93/Pake,3.87,164,51,1,Rust,0.9982,12549,61085,0.20543504952115904,GNU General Public License v3.0,true,3
coollabsio/coolify,5.58,2827,695,0,PHP,0.8730,5358,61080,0.08772102161100197,Apache License 2.0,true,6
1c7/chinese-independent-developer,8.93,763,0,0,Python,0.9973,5323,61020,0.08723369387086201,Não informado,true,1
Solido/awesome-flutter,9.30,452,0,127,Dart,0.0000,6908,61002,0.11324218878069571,Não informado,false,1
ultralytics/ultralytics,3.96,5529,457,0,Python,0.9967,11634,60988,0.1907588378041582,GNU Affero General Public License v3.0,true,4
h5bp/Front-end-Developer-Interview-Questions,14.54,485,0,70,Nunjucks,0.7730,10986,60869,0.18048596165535824,MIT License,true,3
